Order ID,Date,Category,Qty,Amount
171-9198151-1101146,2022-04-30,kurta,1,406
406-7807733-3785945,2022-04-30,kurta,1,399
405-5513694-8146768,2022-04-30,kurta,1,399
408-1298370-1920302,2022-04-30,Set,1,771
403-4965581-9520319,2022-04-30,kurta,1,544
402-4030358-5835511,2022-04-30,kurta,1,458
405-8191138-5176316,2022-04-30,Set,1,582
403-9230474-9657916,2022-04-30,kurta,1,299
404-9632124-1107550,2022-04-30,Set,1,1233
402-1465437-0579556,2022-04-30,kurta,1,517
402-2764952-1492318,2022-04-30,kurta,1,499
406-7398201-3869914,2022-04-30,kurta,1,424
171-9208368-0157156,2022-04-30,kurta,1,399
171-2592464-6846743,2022-04-30,Set,1,599
405-9966506-3155561,2022-04-30,kurta,1,696
407-2189901-7515567,2022-04-30,Set,1,631
406-1326801-8886709,2022-04-30,kurta,1,362
407-6599093-6553153,2022-04-30,Bottom,1,377
403-1162895-2484367,2022-04-30,Western Dress,1,859
405-1879750-2639521,2022-04-30,kurta,1,725
408-7698765-2294756,2022-04-30,Set,1,1338
404-1856281-9996319,2022-04-30,Western Dress,1,472
405-5257740-5301158,2022-04-30,Set,1,832
405-5257740-5301158,2022-04-30,kurta,1,399
403-7266170-1163500,2022-04-30,Top,1,518
406-8961316-8137943,2022-04-30,Set,1,597
406-8961316-8137943,2022-04-30,Set,1,549
405-4908072-0260360,2022-04-30,kurta,1,579
408-1482435-5202714,2022-04-30,Set,1,788
171-0131752-2560336,2022-04-30,Set,1,1399
407-4235449-1353916,2022-04-30,Set,1,999
404-6513062-3876305,2022-04-30,kurta,1,376
407-9863928-5979501,2022-04-30,kurta,1,353
171-4644162-9093116,2022-04-30,kurta,1,399
407-0542879-1795554,2022-04-30,kurta,1,399
405-2660443-4165145,2022-04-30,kurta,1,399
407-4097885-3129958,2022-04-30,Top,1,387
405-0732969-3941948,2022-04-30,Set,1,583
404-6680046-0839536,2022-04-30,Western Dress,1,744
407-7173744-5333154,2022-04-30,kurta,1,497
171-4350114-4299568,2022-04-30,Top,1,399
407-4737202-9096304,2022-04-30,Western Dress,1,725
406-2403215-8361103,2022-04-30,Set,1,999
404-6578109-5618751,2022-04-30,kurta,1,295
404-0696150-3898703,2022-04-30,Set,1,499
406-7586136-6520337,2022-04-30,Western Dress,1,791
405-9144614-1601126,2022-04-30,kurta,1,533
171-4607096-6413920,2022-04-30,Set,1,563
404-6975277-1927553,2022-04-30,kurta,1,458
171-1584788-8864335,2022-04-30,Set,1,1099
408-4101226-7217932,2022-04-30,kurta,1,459
402-4774686-7773937,2022-04-30,Top,1,339
